,,,,,,,,,,,,,,,,,,,,,
,Top Accounts_Antigravity,,,,,,,,,,,,,,,,,,,,
,As of 2026-03-03 13:25:24 Pacific Standard Time/PST • Generated by Akshay Mehndiratta,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Filtered By,,,,,,,,,,,,,,,,,,,,
,Show: All accounts,,,,,,,,,,,,,,,,,,,,
,Level equals Level 1,,,,,,,,,,,,,,,,,,,,
,"Bucket equals Top, Strategics, Enterprises",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Account ID,,L1 Account ID,L1 account Name ( Top Level ),Account Name,Market,Pillar,Level,Customer Type,Account Type,Bucket,State/Province,Annual Revenue,Account Owner,Customer Account Reachable for Marketing,# of Providers,Physicians Count,Territory,SDR Rep Assigned,Domain,
,0015j00000DA0ulAAD,,0015j00000DA0ulAAD,Longevity Health Plan,Longevity Health Plan,Payer,Value; Experience; Productivity; PQS,Level 1,Innovaccer,Customer,Top,NY,,Alexander J. Keltner,Yes,,,Payer_Blue,Abhishek Gautam,longevityhealthplan.com,
,0015j00000DA0utAAD,,0015j00000DA0utAAD,Independence Blue Cross,Independence Blue Cross,Payer,Value; Experience; PQS,Level 1,,Suspect,Top,PA,,Alexander J. Keltner,,,,Payer_Blue,Abhishek Gautam,ibx.com,
,0015j00000DA0uwAAD,,0015j00000DA0uwAAD,Health Plan of San Joaquin,Health Plan of San Joaquin,Payer,Value; PQS,Level 1,,Target,Top,CA,,Michael Rime,,,,Payer_Green,Dhanvir Singh,hpsj.com,
,0015j00000DA0v1AAD,,0015j00000DA0v1AAD,Guidewell Mutual Holding Company,Guidewell Mutual Holding Company,Payer,Value; Experience; Productivity; PQS; Gravity,Level 1,Innovaccer,Customer,Top,FL,,John Specht,Yes,,,Payer_Orange,Ritika Shaw,guidewell.com,
,0015j00000DA0x2AAD,,0015j00000DA0x2AAD,First Choice Health,First Choice Health,Payer,Value; Experience; PQS,Level 1,,Target,Top,WA,,Hannah Schuyler,,,,Payer_Pink,Abhinav Pandey,fchn.com,
,0015j00000DA0x5AAD,,0015j00000DA0x5AAD,MVP Health Care,MVP Health Care,Payer,Value; Experience; PQS,Level 1,Humbi,Customer,Top,NY,1873601000.0,John Specht,Yes,,,Payer_Orange,Ritika Shaw,mvphealthcare.com,
,0015j00000DA0x8AAD,,0015j00000DA0x8AAD,Moda Health,Moda Health,Payer,Value; Experience; PQS,Level 1,,Target,Top,OR,,Hannah Schuyler,,,,Payer_Pink,Abhinav Pandey,modahealth.com,
,0015j00000DA0xEAAT,,0015j00000DA0xEAAT,LivaNova,LivaNova,Life Sciences,Value,Level 1,,Target,Top,PA,,Gina Black,,,,LS_All,Kumar Shanu Goswami,livanova.com,
,0015j00000DA0xOAAT,,0015j00000DA0xOAAT,Halozyme,Halozyme,Life Sciences,Value,Level 1,,Target,Top,CA,,Gina Black,,,,LS_All,Kumar Shanu Goswami,halozyme.com,
,0015j00000DA0xXAAT,,0015j00000DA0xXAAT,Grifols,Grifols,Life Sciences,Value,Level 1,,Target,Top,CA,,Gina Black,,,,LS_All,Kumar Shanu Goswami,grifols.com,
,0015j00000DA0xdAAD,,0015j00000DA0xdAAD,Globus Medical,Globus Medical,Life Sciences,Value,Level 1,,Target,Top,PA,,Gina Black,,,,LS_All,Kumar Shanu Goswami,globusmedical.com,
,0015j00000DA0xgAAD,,0015j00000DA0xgAAD,Gilead Sciences,Gilead Sciences,Life Sciences,Value,Level 1,,Suspect,Top,CA,,Shyam Dattani,,,,LS_All,Aditya Nandwana,gilead.com,
,0015j00000DA0xiAAD,,0015j00000DA0xiAAD,Merck,Merck,Life Sciences,Value,Level 1,,Suspect,Top,NJ,,Shyam Dattani,,,,LS_All,Aditya Nandwana,merck.com,
,0015j00000DA0xuAAD,,0015j00000DA0xuAAD,Supernus Pharmaceuticals,Supernus Pharmaceuticals,Life Sciences,Value,Level 1,,Target,Top,MD,,Gina Black,,,,LS_All,Kumar Shanu Goswami,supernus.com,
,0015j00000DA0xwAAD,,0015j00000DA0xwAAD,Sun Pharma,Sun Pharma,Life Sciences,Value,Level 1,,Suspect,Top,NJ,,Gina Black,,,,LS_All,Kumar Shanu Goswami,sunpharma.com,
,0015j00000DA0y2AAD,,0015j00000DA0y2AAD,Genmab,Genmab,Life Sciences,Value,Level 1,,Target,Top,NJ,,Gina Black,,,,LS_All,Kumar Shanu Goswami,genmab.com,
,0015j00000DA0yIAAT,,0015j00000DA0yIAAT,Ferring Pharmaceuticals,Ferring Pharmaceuticals,Life Sciences,Value,Level 1,,Target,Top,NJ,,Gina Black,,,,LS_All,Kumar Shanu Goswami,ferring.com,
,0015j00000DA0yNAAT,,0015j00000DA0yNAAT,Lifepoint Health,Lifepoint Health,Provider,Value; Experience; Productivity; Gravity,Level 1,,Suspect,Enterprises,TN,,Danielle Strother,,10883.0,,Vector_3,Vaibhav Jain,lifepointhealth.net,
